0	emptyState
1	parseBookWithState
2	reduce_app_ctr
3	reduce_app_sup
4	runtime_c
5	compileFullCore
6	compileFullVar
7	tagToString
8	print_tag
9	prettyLst
10	_SUP_
11	doLiftDups
12	set_lab
13	termSetBit
14	reduce_app_w32
15	compileFastArgs
16	closeWith
17	reduceAppLam
18	reduceAppSup
19	go
20	reduceOpyLam
21	flatten
22	reduceOpyCtr
23	collectLabels
24	mut
25	reduceOpySup
26	reduceCAt
27	ifLetLab
28	termLoc
29	compileFastAlloc
30	parseLst
31	compileFastSave
32	term_new
33	term_loc
34	reduceRefAt_SupF
35	reduceMatSup
36	compile
37	term_get_bit
38	reduceMatCtr
39	doInjectCoreAt
40	reduce_app_era
41	doCollapseFlatAt
42	hvm_init
43	reduceAppW32
44	DUP_f
45	compileWith
46	sqPop
47	setRefIds
48	_LOG_F_
49	dumpHeapRange
50	reduce_dup_w32
51	hvm_get_state
52	reduceAppCtr
53	get_len
54	FRESH_f
55	InjectState
56	termLab
57	reduceDupSup
58	_LET_
59	reduce_opx_sup
60	genMain
61	termToString
62	createBook
63	alloc_node
64	_OPX_
65	cache
66	reduceRefAt_FreshF
67	coreToString
68	liftDupsMov
69	reduce_let
70	reduceC
71	_MAT_
72	reduceOpxSup
73	_DP0_
74	getLen
75	print_term
76	reduce_ref
77	reduce_opx_w32
78	parseBook
79	extractCoreAt
80	u12v2Y
81	reduce_opx_ctr
82	RunMode
83	dumpHeap
84	sub
85	parseRef
86	hvmSetState
87	liftDupsList
88	reduceDupCtr
89	modeToString
90	Bin
91	set_itr
92	Mode
93	parseADT
94	reduce_opy_lam
95	fork
96	compileFastCore
97	injectCore
98	reduce_dup_sup
99	Term
100	printHelp
101	tabInc
102	Oper
103	reduceOpyW32
104	collapseDupsAt
105	reduceMatLam
106	get_itr
107	hvm_set_state
108	parseLam
109	term_tag
110	compileFastUndo
111	compileFastBody
112	reduceDupLam
113	cont
114	reduceRefSup
115	pqUnion
116	showCore
117	primitives
118	tabDec
119	incItr
120	parseDef
121	SQ
122	reduceDupEra
123	Loc
124	_DP1_
125	compileFull
126	print_term_ln
127	extend
128	_FRESH_F_
129	reduceOpxW32
130	_REF_
131	hvm_init_state
132	_SUP_F_
133	locToString
134	reduceMatEra
135	showHex
136	State
137	Collapse
138	reduce_mat_ctr
139	Book
140	genFreshLabel
141	extractExpectedTokens
142	termRemBit
143	parseOper
144	u12v2_x
145	doExtractCoreAt
146	reduce_opy_sup
147	normal
148	reduceMatW32
149	skip
150	compileFastVar
151	_APP_
152	liftDups
153	flattenPQ
154	u64
155	u12v2New
156	_W32_
157	reduceDupRef
158	u32
159	got
160	take
161	modeT
162	reduce_opy_era
163	reduceOpyEra
164	prettyStr
165	doParseCore
166	reduce_at
167	Core
168	collapseSups
169	getItr
170	hvmGetState
171	reduce_opy_ctr
172	reduce_app_lam
173	reduceAt
174	parseMat
175	fresh
176	padLeft
177	_VAR_
178	main
179	parseCtr
180	hvm_free
181	sqPut
182	showParseError
183	LOG_f
184	_SUB_
185	parseName1
186	u12v2_y
187	Lab
188	tagT
189	pqPut
190	reduce_mat_w32
191	print_heap
192	reduce_mat_sup
193	SUP_f
194	term_rem_bit
195	_OPY_
196	reduce_mat_lam
197	term_set_bit
198	cliRun
199	inc_itr
200	labToString
201	reduce_dup_lam
202	reduceOpxEra
203	Tag
204	flattenBFS
205	parseChr
206	_CHR_
207	compileFast
208	reduceRefAt_DupF
209	termNew
210	set_loc
211	genNameFromIndex
212	parseADTCtr
213	operToString
214	flattenDFS
215	liftDupsCss
216	termGetBit
217	term_lab
218	putI
219	CompileState
220	pass
221	reduce_ref_sup
222	bind
223	_CTR_
224	hvmFree
225	reduceOpxCtr
226	termTag
227	reduceLet
228	reduce
229	parseEscapedChar
230	set
231	reduce_mat_era
232	u12v2X
233	ParserState
234	putO
235	parseStr
236	parseCore
237	reduceOpxLam
238	doCollapseAt
239	u12v2_new
240	intoIfLetChain
241	hvmDefine
242	pqPop
243	lexify
244	reduce_opx_lam
245	swap
246	_LAM_
247	heapToString
248	reduceDupW32
249	consume
250	_DUP_F_
251	pretty
252	prettyRename
253	set_len
254	mget
255	reduce_dup_ref
256	doParseBook
257	reduceRefAt_LogF
258	emit
259	reduce_dup_ctr
260	compileSlow
261	genName
262	TAG
263	_ERA_
264	reduce_dup_era
265	reduce_opy_w32
266	parseName
267	fmap
268	hvmInit
269	reduceAppEra
270	hvm_define
271	reduce_opx_era
272	PQ
273	ATerm
274	reduceRefAt
275	allocNode
